name,ra,dec,redshift,mag_r,flag,N_g,N_r,N_i,N_z
J004052.51-431252.38,10.2188,-43.2146,2.456,19.462,QQ,115,122,121,236
J004055.63-441249.39,10.2318,-44.2137,1.383,20.232,QQ,101,61,69,186
J004056.56-431446.39,10.2357,-43.2462,2.384,19.319,QQ,116,120,121,240
J004111.46-441014.41,10.2978,-44.1707,1.236,19.93,QQ,81,74,76,102
J004112.03-444512.50,10.3001,-44.7535,2.878,18.413,QQ,93,121,121,241
J004114.73-431453.52,10.3114,-43.2482,0.5,20.2404,q,99,94,86,141
J004122.86-435438.31,10.3453,-43.9106,1.201,20.544,QQ,117,118,120,236
J004137.81-432510.30,10.4075,-43.4195,0.8,19.1383,q,114,118,125,239
J004139.33-434323.81,10.4139,-43.7233,2.058,20.219,QQ,118,121,119,239
J004140.98-435424.90,10.4207,-43.9069,1.6,18.731,q,117,118,121,241
J004143.04-440234.40,10.4293,-44.0429,2.083,20.03,QQ,118,123,121,241
J004156.96-435856.50,10.4873,-43.9824,1.813,20.0,QQ,110,114,111,222
J004159.14-441212.77,10.4964,-44.2035,0.1,20.2787,q,107,114,116,237
J004205.13-432433.20,10.5214,-43.4092,1.012,20.694,QQ,102,95,75,129
J004219.28-441842.51,10.5803,-44.3118,3.983,20.498,QQ,10,11,15,16
J004232.48-440757.22,10.6353,-44.1326,1.529,18.198,QQ,119,124,122,242
J004233.91-441004.51,10.6413,-44.1679,0.613,20.065,QQ,91,75,74,106
J004247.21-435625.01,10.6967,-43.9403,0.662,20.106,QQ,9,8,8,6
J004334.89-440546.50,10.8954,-44.0962,0.683,19.423,QQ,116,122,123,242
J021340.14-050149.11,33.4173,-5.03031,0.443,18.8594,Q,99,111,112,228
J021343.46-044907.78,33.4311,-4.81883,1.071,20.9797,Q,106,107,111,216
J021347.98-045455.58,33.4499,-4.91544,2.1,18.302,q,95,97,96,215
J021359.18-045758.37,33.4966,-4.96621,0.6,21.6913,q,100,110,110,218
J021401.22-050001.74,33.5051,-5.00048,1.938,22.3985,qQ,101,107,103,172
J021406.52-045729.16,33.5272,-4.9581,0.8,21.7911,q,104,113,114,213
J021412.71-044923.30,33.553,-4.82314,2.315,19.8405,Q,104,113,113,222
J021413.01-042930.00,33.5542,-4.49167,0.9,18.791,QQ,104,116,108,226
J021413.43-044626.11,33.5559,-4.77392,1.981,20.7798,Q,35,36,41,64
J021416.31-050719.34,33.568,-5.12204,1.879,21.3962,Q,105,114,113,220
J021417.56-051345.54,33.5732,-5.22932,2.939,20.0281,Q,107,113,109,222
